image_name,mushroom_id,x_center_px,y_center_px,area_px,box_w_px,box_h_px,confidence
IMG_1262.HEIC,0,35.62808814786171,2540.527763689497,6382.493617506383,83,114,1.0
IMG_1262.HEIC,0,1934.039790882763,2924.4533219485206,12158.98784101216,119,130,1.0
IMG_1262.HEIC,0,2157.6196533790235,3233.292754482352,8943.491056508945,107,108,1.0
IMG_1262.HEIC,0,2101.7288478728397,3653.6257621142395,8138.491861508139,108,102,1.0
IMG_1262.HEIC,0,1761.0461127393573,2755.8590005063247,7863.991840416511,97,112,0.9637736842396171
IMG_1268.HEIC,0,2129.7912132444835,2661.674365132839,647214.0611061902,1140,801,1.0
IMG_1268.HEIC,0,952.3976222939795,2535.734790973924,190086.80487406114,905,397,0.9741749661113469
IMG_1269.HEIC,0,908.089364756023,129.94427600346472,115449.88455011546,537,364,1.0
IMG_1269.HEIC,0,1901.7296520672003,2816.7978387557514,696931.6921049424,1160,922,1.0
IMG_1269.HEIC,0,616.5430378661815,77.02702159148282,24300.947875909682,272,205,0.4662133713204819
Image Test 2.jpeg,0,162.4523996987926,113.15767476723644,328.49967150032853,26,22,1.0
Image test 1.jpeg,0,269.8662004332595,92.30329503102016,339.49966050033953,23,21,1.0
Image test 1.jpeg,0,68.76011130946102,109.56547259126978,814.4991855008145,36,30,1.0
Image test 1.jpeg,0,12.676526684346271,127.19472861197444,641.4993585006415,31,32,1.0
Image test 1.jpeg,0,248.0635988363747,104.35023698276834,675.9992991591756,33,31,0.964554682912817
Image test 1.jpeg,0,107.31894230481083,76.51573603306504,420.9994537503758,31,22,0.7707089123989898
